sentences,attribution,attrib_words
altho we never had water problem but there are signs of it coming with less rainfall and rise of polluted rivers that has lead to toxic marine life and people dying or falling ill suddenly due toxic material dumped illegally,0,lack of harvesting
singapore relies for its water on malaysia but with its advanced tech it buys water from malaysia and sells part of it back after it is refinedfiltered thru its industrial plants,0,contamination
could just solve global warming instead,1,climate change
there has to be some way to replenish the ground water table not just taking the water from ground and using it,1,loss of water bodies
put up floating solar pv on the resevuar to reduce eveperation,0,lack of awareness
for sure water conservation and water recycling city wide as he said in the interview,0,industrial development
zeli ang desalination is prohibitively expensivewasteful energy wise and would only be worthwhile in desert regions,0,contamination
in places like india it rains more than adequately to provide water for the whole country if they trapped water from the higher altitude tributaries and channelled it to the lower altitudes to replenish aquifers and lakes all it would require would be the infrastructure and our good friend gravity would do the rest,1,lack of harvesting
the bonus would be fewer floods in the plains in the monsoon season,0,corruption
the river ganges is basically the worlds biggest toilet piss shit rubbish processing chemicals female sanitary cloth and even dead bodies hella disgusting to know crocs wait for dead body disposal day to have an all you can eat human buffet in the river,1,contamination
the place is one big flowing piece of wtf,0,agriculture
population is the biggest challenge in chennai not only in chennai though unless we control the population things will get even more worse,1,overpopulation
you are right but forget that is is the westerner world who export,0,human activity
the capitalist and consumistic model which bring to natural disasters by necessity cause of the optic of consume and produce,0,desalination
then when the market is saturated make war,0,damming
and start again to consume and produce,0,groundwater exploitation
we should make a system for entry of rain water into soils specially in citieswhere ground water level is very low municipalities can make sand chambers from where water percolates into soil instead of flowing into nalis,1,lack of harvesting
the best way to save water is to stop consuming animal products so much of our precious water is used for animal agriculture,1,human activity
after 72 years of independence the federal and state governments in india cannot provide drinking water for its population what a terrible indictment does anyone care i doubt it as lack of governance and accountability has become a way of life,1,government inaction
just recycle water and use less water india hardly recycle any water,1,public water wastage
flyingchris2249g well actually if u r have some interest learning politic u ll find it interisting why,0,agriculture
bcoz in the name of profitbussines politiciant has been lobbying research about global warming and change it into climate change phrase,0,lack of infrastructure
actually most developed nations and surprisingly china and india included as developed nations are actually losing population its the influx of immigrants that keeps the population rising,1,overpopulation
the overall exponential growth humans had been having has seemed to have stopped her at least broken the exponential curve,0,water withdrawals
its a big breakthrough a scientist that people actually havent been increasing populations for the last few years,0,lack of infrastructure
to support terrorism carries grave consequences pakistan should be careful maybe you support terrorism,0,contamination
if i collect water after bathing in a pit and let the water drain underground,1,loss of water bodies
busy with party leadership fights,0,lack of infrastructure
really wonder yet people had voted these guys,0,water withdrawals
dhruv please make a video on how our next generation will be affected and in what state they would be in next 20 years,0,desalination
we need a serious reality check video for population control anybody who would care for hisher future children should not give birth i am sure nobody wants their kid to die in thirst hunger air pollution by the age of 30,1,overpopulation
and that seems inevitable at this moment,0,contamination
plzz make a video on rainwater harvesting system,0,pollution
i want to implement this system in my new home,0,deforestation
atleast now people realized,0,deforestation
albino guy mankind is a cancer upon the earth,1,human activity
this is an entirely fitting description per the following evidence as seen by astronauts and photographed from space by satellites millions of manmade patterns on the land surface of earth resemble nothing so much as the skin conditions of cancer patients,0,overpopulation
the transformation of the natural contours of the land into the geometric patterns of farm fields the straightening of meandering rivers into canallike channels and the logging of forests into checkerboard clearcuts all have their counterparts in the loss of normal skin markings in cancer victims,0,industrial development
green forests logged into the ​brown scrub and overgrazed grasslands bleached into white wasteland are among the changes in earths color,0,corruption
highways streets parking lots and other paved surfaces have toughened earths surface while cities have roughened it,0,loss of water bodies
slag heaps and garbage dumps can be compared to raised skin lesions,0,deforestation
openpit mines quarries and bomb craters resemble skin ulcerations,0,desalination
saline seeps in inappropriately irrigated farm fields look like scaly festering sores,0,strain on natural resources
signs of bleeding include the discharge of human sewage factory effluents and acid mine drainage into adjacent waterways and the erosion of topsoil from deforested hillsides to turn rivers lakes and coastal waters yellow brown and red,0,groundwater exploitation
the red ring around much of madagascar that is visible from space strikes some observers as a symptom that the island is bleeding to death,0,deforestation
cancer cells proliferate rapidly and uncontrollably in the body humans continue to proliferate rapidly and uncontrollably in the world,0,strain on natural resources
crowded cancer cells harden into tumors humans crowd into cities,0,overpopulation
cancer cells infiltrate and destroy adjacent normal tissues urban sprawl devours open land,0,water withdrawals
malignant tumors shed cells that migrate to distant parts of the body and set up secondary tumors humans have colonized just about every habitable part of the globe,0,agriculture
cancer cells lose their natural appearance and distinctive functions humans homogenize diverse natural ecosystems into artificial monocultures,0,lack of infrastructure
malignant tumors excrete enzymes and other chemicals that adversely affect remote parts of the body humans motor vehicles power plants factories and farms emit toxins that pollute environments far from the point of origin,0,lack of harvesting
a cancerous tumor continues to grow even as its expropriation of nutrients and disruption of vital functions cause its host to waste away,0,strain on natural resources
similarly human societies undermine their own longterm viability by depleting and fouling the environment,0,urbanization
with civilization as with cancer initial success begets selfdefeating excess,0,groundwater exploitation
in winter all the glacier water goes unused through the streams and finally into the indus river,0,deforestation
so wat they have done is they have supplied underground pipes from these uphill streams and the pipes are released during night time ultimately the water freezes and slowly it melts throughout the spring time solving water crisis during spring time,0,contamination
conversion of sea water to drinking water is a brilliant idea,1,desalination
plz provide ur tips,0,human activity
half of indians would say yes to move in is sadly true,0,groundwater exploitation
but your country is evil they have fucked up countless lives and with time the truth will be infront of the world,0,corruption
we still call people untouchables,0,lack of infrastructure
if u think so i have nothing to argue whole country is ok with rape,0,damming
your media is dirt you are right we are a light years behind the west,0,pollution
i never said we are developed,0,lack of awareness
no denying that our standard of living is much lower than wat u have,0,industrial development
but standard of living is a relative term a western midclass would have a similar lifestyle as of a rich in india so someone living in slums would definitely have a worser one,0,water withdrawals
our police is definitely more moral than of white america no one shoots color people,0,pollution
why not filter salt out of the ocean like so many are doing for crops and set up green houses with refractory mirrors to facilitate different ideal climate and growing seasons for all kinds of fruitsvegetables and foods and not only the a middle east and china but africa and everywhere else,1,desalination
plant a tree these rainy season,1,deforestation
and take care of it for 3 years,0,damming
maharashtra the water problem is huge but in those are we produce cotton soyabean and sugarcane you should now how much water is consumed their,1,agriculture
it is the time we have to choose that we want dollars or drinking water for our future generation,0,groundwater exploitation
we have to understand the virtual water trade that china has understand much before us in 1996 china was a major exporter of soyabean but china has now became a importer of soyabean,0,contamination
we have to make agriculture policy of the country keeping in mind water and what we are producing but strange is that not a single word on water is their in our agriculture policy,1,government inaction
we have to make agriculture policy of the country keeping in mind water and what we are producing but strange is that not a single word on water is their in our agriculture policy,1,agriculture
the idea of sri system rice intensification is firstly suggested by the scientists of sk university of agricultural sciences and technology,0,human activity
you termed their idea as your own at least you should give them some credit,0,damming
you first create terrorists by getting into somebody elses war and neglecting your own land for decades and support terrorism as an instrument against india then when it affects you and you fight you claim as it the world has put terrorism on your head and you are sacrificing your people on themits called karma,0,climate change
high time you revert to hinduism,0,religion
love nature this is faults of people not govt,1,human activity
people never learn how to solve this problem and select the proper government,0,agriculture
save raining water everywhere,1,deforestation
reduce the usage of water,0,groundwater exploitation
id start saying u cant do this or that but its common sense,0,water withdrawals
jesus all these ppl are going to die horribly,0,urbanization
you cannot put dead things in drinking water you cannot put any type of waste near drinking water,1,contamination
omg praying they change their ways,0,lack of awareness
please make a video on desalination,0,pollution
israel has a working model,0,groundwater exploitation
with 7000 km of coastline this can potentially become a boon for india,0,government inaction
india should be thankful that they have a person who understands the real problem of bringing back water to save the country,0,natural calamities
thank you sadhguru for all what you are doing to identifying and solving the water crisis,0,religion
wishing you and all your efforts great success,0,lack of awareness
god bless you and god speed on all your efforts,0,deforestation
anne usually i wont comment for any youtuber but this topic means a lot i hope more awareness and social message videos will be uploaded,0,groundwater exploitation
there is none a person blame our mistake for these world goodness,0,lack of awareness
know i got a hope from you,0,urbanization
i believe you can change the society,0,agriculture
am in gurajat vapi last one year,0,industrial development
here no water problem single day,0,government inaction
last seven months no rain,0,loss of water bodies
but here water available,0,public water wastage
bjp government did lot of water projects here,0,deforestation
am not bjp supporter,0,desalination
our cm is very good tamil people so are lucky,0,contamination
people rely on melt water global warming means less water,1,climate change
sir i thank you on behalf whole world for realistic solutions of water cricis,0,climate change
it would have been a interesting point to know where ground water is going,0,contamination
for a layman it seems water will keep on evaporating and precipitating with little fluctuations,0,human activity
sea is there to send evaporated water on landmasses and evaporated h2o cant escape earth atmosphere,0,lack of harvesting
so there wont be any loss of earth water,0,pollution
please make a similar video on sea water salination as well sir,0,government inaction
you know your country fucked when you need goverment to build your own fucking toilet,0,strain on natural resources
i mean what the fuck people,0,overpopulation
erth is known as blue planet because 71 percent of theearths surface is covered with water,0,climate change
water also exists belowland surface and as water vapor in the air,0,lack of harvesting
but the earth cleans and replenishes the water supply through the hydrologic cycle,0,contamination
why dont india use sea water for drinking,0,industrial development
some other countries has biggest filter systems for clean the sea water making fresh water,0,human activity
we have losts money for defense budget for targets a small poor and wrost neighbour country,0,lack of harvesting
watching from pakistan feel so grim and sad for situation other side here in city lahore the situation is getting bad and bad few years ago there was plenty of water but now we have to struggle daily to hold some water for the night these two govt need to sit down concentrate on these problems one suggestion is immediately put water meters and charge more from those who use more water i dont know if there are water meters but here in pakistan we need this,1,government inaction
yes plz make a vedio on desalination,0,pollution
its so appalling to see that man has made this heaven a hell,0,corruption
please do some research and development to save rain water proper sewage treatment plant so that river can survive,1,lack of harvesting
please do some research and development to save rain water proper sewage treatment plant so that river can survive,1,loss of water bodies
thanku dhruv for giving this information,0,climate change
i have a suggestion for saving the water that in those areas where water crisis is happening the people who have proper quantity of water atlaest in a month they can donate water to those areas or we can open water donation banks also so those who do not have money can take water in a less amount and that money can be used for further environment protection,1,public water wastage
if you will suggest the people surely they will understand,0,human activity
thanku keep doing this you are doing a great job,0,lack of harvesting
dont waste water please,1,public water wastage
recharge ground water using lakes,1,loss of water bodies
the real problem is there is no ground left for rain water to get inside and even the leftover land in front of houses and shops are being cemented because people dont want mud in front of their houses,1,urbanization
therefore all the rain water is directly going inside the drain,1,lack of harvesting
one question bro 1kg rice 4000 litre for that rice plant weight may be another 3kg i guess,0,contamination
so i dont see all 4000 litres of water wont be consumed by rice or plant,0,agriculture
most water goes back to the ground as underground water and some may evaporate,0,human activity
so the calculation can get absurd,0,damming
correct me if i m wrong,0,strain on natural resources
talk to the u,0,water withdrawals
s govt and get some assistance with some geoengineering weather control,0,deforestation
we have ways now of causing clouds to make it rain and ways of making other areas dry from lack of rain,0,pollution
im not making this stuff up either,0,agriculture
just google weather control,0,industrial development
while this is wonderful for the short term 25 years like you said what about long term,0,lack of awareness
time to really think out of the box and look at that longer picture,0,urbanization
preserve ground water come up with solutions like waste water treatment or desal where ever possible,1,desalination
preserve ground water come up with solutions like waste water treatment or desal where ever possible,1,groundwater exploitation
we cannot reverse anything,0,climate change
save water decrease the rate of depletion so that nature gets her time to replenish herself save water from now,1,public water wastage
because bjp never ruled south,0,deforestation
less hindutva and cow politics in south makes it more developed,0,deforestation
also dravidian culture where people dont shit on road unlike cow belt region,0,agriculture
zion33 agree with you in all of this except the first line,0,strain on natural resources
there is no proof of climate change,0,contamination
jnu professor doesnt have the points,0,water withdrawals
he is like why are you asking questions to meim not interested in your shit talks,0,agriculture
glaciers are fresh water water not salt water,0,human activity
dmk the main reason for the water crisis releasing attractive election manifesto but cant do anything productive,1,government inaction
if they can close their liquor factory tamilnadu can save huge amount of water,1,industrial development
the only thing they can do is walking out of the assembly,0,contamination
well actually majority of the people do not toss dead bodies in the water,0,corruption
most of the people use cremation and only ashes are thrown in the river it is only the poor people who uses water burial because they do not have enough money to afford cremation apart from them there is also a belief in hinduism where animals and sadhus are not cremated but are tossed in the river i think that the government should provide affordable ways for poor people in india to the cremation of their loved ones and stop throwing dead bodies of animals like cows in river and finally there are not strict laws to stop throwing of industrial waste and sewer of varanasi city into ganges river which is the major reason for the pollution of ganges river government of india should implement tougher laws and punish those who break them,1,contamination
all in all with the rise of the new government in india there is a hope for the cleaning of ganges as indias prime minister modi is serious about the pollution and sanitation problems in india,0,lack of infrastructure
he has already started swacht bharat abhiyan clean india movement to provide every poor people with toilets and clean water to drink,0,deforestation
pixel point why ntk is dangerous,0,lack of awareness
will they steal money or will they bring family politics,0,lack of awareness
will they support cast based politics,0,pollution
will they destroy water resources,0,damming
will they make tamils life better,0,lack of infrastructure
will they safe guard tamil,0,lack of harvesting
will they protect environment,0,lack of infrastructure
if you say no then there is a point,0,pollution
so they pump water from the river and spray it in air to freeze,0,climate change
it thaws in the spring and melt water runs down to water crops and supply village,0,lack of awareness
is this not what would happen with the river from which the water was drawn to make the glaciers,0,pollution
like fordnissan textilelethercottondye western toilet 1liter mug,0,urbanization
etc the global automotive industry is a major consumer of water for various production processes according to some estimates producing a car uses over 39000 gallons of water and whether tyre production is included varies by estimate,1,industrial development
oh india i admire your affection towards my country just like our political partyleader does,0,agriculture
thank you for all smooth roads never ending railway lines best trade deal in the world one sided treaty on natural resources cheap labour market job opportunity and bustling economy,0,lack of awareness
thank you your very generous indirect intervention has pushed us only 60yrs back i guess and poorest in asiaworld,0,public water wastage
i can only imagine what it would be if india could play open game mercy for existence is not far off,0,lack of harvesting
long live our great helpfulfair neighbour,0,damming
ps i’ve nothing against individual indian,0,strain on natural resources
why dont we cut power supply for all neighbouring state which does not provide us water,0,groundwater exploitation
also why we need to reuse ocean water instead of harvesting rain water and water from surplus states,1,lack of harvesting
just donate instead of only appreciating,0,overpopulation
rain water harvesting is the best way to recharge ground water table,0,natural calamities
if i talk about ahmedabad gujarat the old ahmedabad part so called pol areas are having their home with rain water harvesting since constructed many of them are 3040 years old,0,lack of infrastructure
there is negligible water logging in those areas because of this beautiful feature,0,human activity
whereas in developed areas the case of water logging is severe,0,government inaction
my surface needs to be pervious to get drip down to the table and issue can be solved,0,strain on natural resources
isnt india super rich what happened to there water,0,deforestation
didnt they plan for this,0,urbanization
atleast now people have to get up against govt to control our natures water which is been pumped to sea without saving facility in tamilnadu all dmk and admk will only save public money and eat,1,government inaction
atleast now people have to get up against govt to control our natures water which is been pumped to sea without saving facility in tamilnadu,1,water withdrawals
is there any need of 8ways road in tamilnadu now,0,strain on natural resources
the requirements are water and electricity,0,deforestation
these fuckers wont consider,0,lack of awareness
would love to c u making a detailed video on rain harvesting technique,0,lack of infrastructure
if we have no childthey give name maladi society have to changethen only population become control,1,overpopulation
if bjp or congress win water problems r solve,0,agriculture
no push for green energy is not 100 true,0,deforestation
this government especially is pushing heavily towards green energy,0,lack of infrastructure
indias production of renewable energy has grown rapidly mega solar powerplants have been set up solar panels have been planted over the canals in gujrat a lot of public buildings and offices have been using roof solar panels for there consumption,0,lack of awareness
solar panels have been installed on the roofs of the railway stations in the state of jk for there consumption and the electricity is being used by the nearby villages as well,0,loss of water bodies
government is encouraging private owners to install solar panels by offering to buy that electricity at a good rate,0,overpopulation
government is encouraging electric vehicles very much by increasing the subsidies on evehicles and encouraging the companies to manufacture the lithiumion batteries in india to lower the cost,0,overpopulation
2025 is the target to stop the sale of petrol based 2 wheeler and 2030 for 4 wheelers,0,lack of awareness
its not that government is not trying at all but they need to push even harder,0,desalination
besides these big steps the government needs to focus on the smaller steps as well which can be implemented more effectively and efficiently which are achievable in the short term,0,overpopulation
and above all its us who needs to change our lifestyle to save the environment before blaming someone else lets look in our selves what have we done to save nature,0,desalination
how is india poor,0,urbanization
india can support such populations because the ganges area is so fertile that is why there is a large population,0,deforestation
get your facts right,0,damming
every state in india is occupied by biharis and up people,0,lack of harvesting
they even shove their language on rest of india,0,loss of water bodies
shame on tamils mallus marathas punjabis gujratis and other states for bowing down to biharis,0,industrial development
and go vegan it takes 1000 gallons of water to get 1 gallon of milk,0,strain on natural resources
animal agriculture is the biggest reason of water and rainforest depletion,1,deforestation
animal agriculture is the biggest reason of water and rainforest depletion,1,human activity
one problem population also,1,overpopulation
in all the youtube videos about indias water shortage nobody mentions the ultimate cause of the shortage which is over population of humans we will soon have a world population of 10 billion and no one is discussing how to drastically reduce population by large amounts necessary to solve issue,1,overpopulation
what we need now,0,desalination
if you guys remember the save the tiger campaign which became a national mission and we can see its result,0,industrial development
today with such advanced digital media we need a national mission on water crisis so that everybody in the country must know at least how important it is to save water,1,lack of awareness
those flickerings at the end makes me feel like you are disintegrating from this world,0,natural calamities
virtual water doesnt account recycle and reuse concept,0,groundwater exploitation
it just accounts total amount of water used by a entity,0,lack of awareness
if you take plants 99 of water uptake will be lost through evapo transpiration so only 1 is used for producing metabolic activities food,0,urbanization
23 of indias population depends directly or indirectly on agriculture dont bluntly blame farmers accordingly,1,agriculture
eg a four to six person family consumes roughly 1 kg 4000 litres shall we stop agriculture or stop consuming food,0,climate change
"ways to save water 
• collect the water u use while rinsing fruits n vegetables  use it to water house plants",1,public water wastage
is it because of climate change,1,climate change
chennai gets an average of 150170 cm annual rainfall and still going for desal plants over rain water harvesting and storm water drains i reckon we deserve to die,1,lack of harvesting
"global warming not in colorado it global cooling lol
i cant believe india is competing with china",0,pollution
thinking about the future water crisis a new technology has been invented,0,desalination
need not relay upon you can water,0,strain on natural resources
instead make your own water using the humidity in the air,0,overpopulation
yes water from air,0,loss of water bodies
now everyone can make use of this and improve your health with this air o water purifier,0,agriculture
save water by using this purifier at least for your drinking and cooking purposes,0,natural calamities
for more details contact 9840209805,0,industrial development
fz channel an old country or a region must go through three rs to be on the way to modernization 1 renaissance 2 reform of religion 3 reform of culture europe went through those process using some 400 years,0,government inaction
china went through those process opium war actually awakened china for renaissance open the door open the eyes and rethinking,0,groundwater exploitation
china did not need 2 since china is not a religious country httpswww,0,overpopulation
comchart4189whichnationalitiesconsiderreligionmostimportant the cultural revolution in china was overdo however many social reformed were carried on even before the cultural revolution that paved a road for the modernization,0,agriculture
india still needs to go through all 1 2 and 3,0,human activity
smart people all try their best to run away from india even today,0,public water wastage
india as a country gives people a feeling of hopeless due to lack of 3 rs,0,agriculture
india rising is a bullshit claim under current tendency india will be a country with 500 million middleclass living in the ocean of over billion poor people,0,religion
it is not mistake of government,0,desalination
it is mistake of individuals,0,human activity
if you people keep rain water harvesting systems grey water reuse systems lot of water scarcity can be reduced but no one focuses on it,1,lack of harvesting
"bro plz do not activate ad in between video disturbing the flow

or pls activate it in beginning of video",0,contamination
"i think we have to do one step for environment balance 
n eat organic food 
use natural process for conservation of environmental bcz we have to also conserve our planet 
otherwise we lose our planet",1,human activity
too many people reduce your population and the reservoir will slowly fill up again,1,overpopulation
this is what happens when people dont respect natural resources,0,overpopulation
the lakes have been encroached not just in chennai but in the whole off country,0,water withdrawals
drains are running rife,0,industrial development
thus poor ground water recharge plus contamination of water,0,public water wastage
conservation and recharge of water reservoirs is the key,0,damming
shimmy it’s not a race thing,0,natural calamities
it’s about cost of bringing the facility for only about a population of 200 or so people,1,overpopulation
btw i’m in fact hispanic myself as most of the people affected in the town and it doesn’t offend me lol,0,public water wastage
dilan limbu why baby,0,lack of harvesting
am from africa and have seen and heard it all,0,desalination
i live in us,0,human activity
but dont think l can never live in my country because of the filth,0,urbanization
any time l go home l make my concerns known,0,natural calamities
l get insults but l dont care,0,groundwater exploitation
you should do the same,0,industrial development
in the hyderabad some place looking for water,0,lack of awareness
some days after not chennai hyd other upper states some north placessap also face ground water problem in summer,0,lack of awareness
becoze water using for agricultural but no ground water in summer,1,agriculture
that ways bores are not running well and summer water bore moters giving to much problems,1,water withdrawals
population is not problem,0,industrial development
it is problem of localised development only metropolitan and big cities are targetted for development and people migrate into these cities to survie,1,urbanization
avinash im impressed these pakistani cant google it but you my friend made my day r u preparing for upsc,0,loss of water bodies
beinhizdlb0ym it seems you dont like hot weather and yes simla is awesome infact mussorie is also beautiful,0,desalination
its a hill station and the snowfall in winters is awesome,0,lack of awareness
i just sent you the link above its a video of the city named gurugram,0,lack of infrastructure
it is located in the suburbs of new delhi india india is in the process of transformation i was born in india,0,human activity
now we have metro trains in almost all the major cities of india,0,contamination
however the rising population is going to remain a problem and india will surpass china in terms of population by 2022,1,overpopulation
high time we support such content and not all the bullshit vines which are trending day long,0,government inaction
high time we conserve our environment,1,human activity
we wont watch those vines and such stiff the day we dont have water to drink,0,deforestation
save humanity if not a thing,0,damming
yes please make a video on desalination and rain water harvesting system also,0,desalination
india is so overpopulated the government needs to work to actively cut population growth in the country,1,overpopulation
petyr baelish i think you were addressing me,0,damming
i dont think i would argue with anything you said,0,strain on natural resources
the difference this time is that it will effect all parts of the planet,0,public water wastage
draughts floods hail cold winters and shorted growing seasons and this is going to happen for decades,0,water withdrawals
look back in history and see all the abandoned civilizations,0,lack of infrastructure
the answer should be obvious rapid climate change,1,climate change
some civilizations moved others just died out,0,public water wastage
commendable education in simple way,0,industrial development
but black water shud not flow into water sources directly and industrial effluents if india stops that we will be saved,1,contamination
தம்பி நீங்க என்ன சொன்னாலும்,0,strain on natural resources
மக்கள் செய்வதை தான் செய்வார்கள்,0,water withdrawals
no use in putting water scarcity vlog,0,damming
for example 2400sq feet plot la 8 veedu appartment kattina,0,damming
eppadi 8 veetukhum water kidaikhum,0,climate change
they have to realize the problem,0,human activity
if rain comes and fulfill their needs,0,natural calamities
again they start wasting the water,1,public water wastage
rain water harvesting nu onnu irukhu,1,lack of harvesting
whether they doing it properly,0,damming
climate change is real those using ac must abandone it coz rejected heat causes evaporation in turn scarcity of water,1,climate change
akash banerjee you must stop using ac just like me,0,industrial development
roy oetting the jet stream is controlled by magnetic fields,0,loss of water bodies
lets do the experiment if a magnetic field could control airflow then your fridge magnet should do the same thing,0,climate change
does it attract air,0,natural calamities
also if the magnetic field of the earth would control the jetstream the direction the air would move would be totally different,0,religion
magnetic field lines reach from the south pole to the north pole,0,lack of infrastructure
why exactly should the air then move from west to east,0,government inaction
the solar magnetic field is indeed reaching us but it can like every other mag field only interact with charged particles,0,overpopulation
air is not a charged particle,0,government inaction
conclusion hypothesis doesnt make sense,0,corruption
also the temerature was constantly rising over the last 20 years,0,industrial development
i dont know what your sources are but maybe your climate change is a lie and here is why or climate change debunked youtube videos are in the wrong,0,lack of harvesting
g47 pretty easy to spot that there is indeed a rise and not a decline in temperature,0,lack of awareness
also before you answer me how magnets move the air take a look at this,0,government inaction
i want you to check your argument against this table,0,desalination
im sick of arguing with ppl like you and they already debunked nearly 200 lies of climate change deniers and skepicists,0,natural calamities
great opportunity to revive river cauvery,0,public water wastage
rightly said action now,0,desalination
india has a potential to be developed like western countries but the majority of its revenue is eaten by the politicians and burocrats,1,corruption
india needs population control,1,overpopulation
less of agricultural produce,0,urbanization
import food and then import water,0,overpopulation
in cities take a round in the morning people are washing cars with pipe and some residing on ground floor flats they wash the roads as well indians can make educational videos on how to waste water may be they can be of any help to aliens,1,public water wastage
the distilleries around chennai draw enormous amounts of ground water daily for the time being shut them down immediately,1,industrial development
rely more on aidmk and dmk maybe we will get news of mass migration from chennai,0,lack of awareness
all of india know that these local parties have done much corruption in tamil nadu,0,pollution
why isnt the indian government asking israel for help,1,government inaction
why isnt the indian government asking israel for help israel has the technology to transform sea water into fresh water and has been using it for years,1,desalination
all the government has to do is store the water when fluds came then use it when there is little water using this stratagie even if india stop full water which is not possible pakistan will still have water,1,government inaction
there is no issue of population,0,deforestation
india have everything but not have management discipline,1,corruption
digging deeper wells only fixes the problem for the one doing the digging someone elses well will go dry in this situation groundwater simply doesnt replenish fast enough to support population density they have there or they wouldnt have a problem to begin with,1,overpopulation
what you need is dams reservoirs and all around proper water management,1,damming
of course things get screwed up if existing lakes are used for garbage and sewage disposal,1,contamination
of course things get screwed up if existing lakes are used for garbage and sewage disposal,1,loss of water bodies
i think government should take stern steps to make rain water harvesting compulsory for big society government should also give subsidy for rain water harvesting which will encourage people to implement it,1,lack of harvesting
i think government should take stern steps to make rain water harvesting compulsory for big society government should also give subsidy for rain water harvesting which will encourage people to implement it,1,government inaction
time for people to take action against this waste govt of all time and we can help each other by cleaning koovam river and other water reservoirs in chennai,1,government inaction
time for people to take action against this waste govt of all time and we can help each other by cleaning koovam river and other water reservoirs in chennai,1,loss of water bodies
there are 3 main rivers running around chennai with huge deposits of plastics sewage and industrial wastes,1,pollution
stop advising people what the govt is doing all the politicians have failed us,1,government inaction
theyve given water for companies like cocacola,1,industrial development
theyve destroyed lakes to build apartments deforestation,1,deforestation
theyve destroyed lakes to build apartments deforestation,1,loss of water bodies
theyve destroyed lakes to build apartments deforestation,1,urbanization
theyve failed us big time,0,climate change
all the ministers has to be resigned and this puppet govt must be thrown out,1,government inaction
kashmir is india not any occupation,0,agriculture
rainwater harvesting is one of the main sources of water for a lot of people especially in africa,1,lack of harvesting
this is generally done via the use of a water catchment and collection basin,0,contamination
water collected using a water catchment can be used to water our vegetable gardens livestock perform daily chores cook and even for drinking,1,agriculture
